"Complete List of 375 Questions that you should do for Placements : bit.ly/DSASheet
"
"
sir does tech background is necessary to learn web development
"
"
Apun ka toh btech hi nhi he bsc he aadhe jagah me elgible hi nhi he
"
"
ARTS BACKGROUND WALE STUDENT BHI YE CODING SEEKH SAKTA HAI KYA ?????????????
"
"
Munipal chauhan BCA IFTm University c++ video chahie
"
"
Is she speaking English?
"
"
Didi im nearly completed my  1st sem in our college they tought us only basics of c language should i start  DSA now?
"
"
Software companies main exactly kaam kya karna padta hai?
"
"
Is dsa enough after 4 Yr from now?
"
"
How can we apply in Google for internship??
"
"
Learning DSA is must to learn front end development as tech professional?
"
"
i got job of 1.25 lakh per month without dsa
"
"
mam hum java interviews ka liya sql kare or data structure
"
"
Didi me kaha se sikhu DSA
"
"
Guys where I can learn DSA
"
"
Dsa roadmap
"
"
Didi DSA kab sikhna chahiye yani kon kon sa program sikhna Kai baad DSA ko shikhna chaiye
"
"
nyc video mam
"
"
which company pays higher  product based or service based ?
"
"
""Bata  kam or kam jada samji,,""
"
"
Mam dsa konsi language me implement sahi rahega 🙄🙄🙄
"
"
i luv her the video girl
"
"
DSA biggner to advance preparation any video?
"
"
Can I use javascript to learn data structure and algorithm.
"
"
yalaka la vunnav
"
"
aapke Aman dhatharwaal to chor nikla. apne hi teacher ko hire karne k baad satana acchi baat nahi pehle apne internal bhasad sudhaaro phir video banaooo youtube pe.
"
"
Habibi come to icse.... Binary search taught in 10th..
"
"
Details mein bataiye humko nahin samajh mein a raha hai
"
"
#apnacollage     didi DSA course or mil jata to acha hota with c language 🥺🥺🥺
"
"
First DSA karu ya web development start kru? 🤔
"
"
""Service based  6:00
Skills needed""
"
"
Mam science ke students bhi es field me aa skte he kya??
"
"
Mam kya dsa C language pe based h
"
"
I am deaf. I want to learn but Because subtitles must by youtube.
"
"
Dii.. Which language is preferred  for DSA
"
"
thanyouuu
"
"
Can u make complete  data structure and algorithm
"
"
can you put subtitles in your videos
"
"
Y sare questions padhay jayenge? In alpha coarse which is going to start in November?
"
"
how much OOP is neccessary for a programmer?
"
"
Mam can I manage coding with MBBS
"
